amfi_code,Sharpe_Ratio,Sharpe_Rank
148567,1.4482911703262595,1.0
120843,1.3067439695428407,2.0
148569,1.2349300257743296,3.0
119551,1.2082665673727175,4.0
120505,1.1801011976606495,5.0
149323,1.1321218524747245,6.0
100033,1.0936987435346308,7.0
118632,1.0816591793457044,8.0
101206,1.0272133278753697,9.0
120504,1.0265242847993004,10.0
119094,0.9982309868636414,11.0
119552,0.9532794968660103,12.0
149324,0.9497958246616031,13.0
119598,0.9453082575156093,14.0
148568,0.9262873467360146,15.0
102885,0.8170993373494368,16.0
120503,0.7979728586052847,17.0
125497,0.7757902498211207,18.0
118635,0.6648569985490619,19.0
120506,0.6488787755249532,20.0
118633,0.6452074382933215,21.0
102887,0.6195175900829828,22.0
120507,0.4957233929533124,23.0
120841,0.49427253786723496,24.0
149322,0.4640374492204777,25.0
118634,0.4484340089089914,26.0
125498,0.3006119210425478,27.0
101207,0.1626607692864677,28.0
119093,0.12961449795669325,29.0
120842,0.07599984804658917,30.0
119092,0.030784850954585913,31.0
119599,-0.05718662582817997,32.0
119095,-0.07597357117478923,33.0
120844,-0.08874729621557331,34.0
100016,-0.2015170675596694,35.0
102886,-0.20583160785470314,36.0
119120,-0.22657538662791596,37.0
118636,-0.356629507514368,38.0
100025,-0.5670947928476847,39.0
101208,-0.8155673679088278,40.0
